id,tabled,notes_sentences,labels,labels_contiguous,counted,recommendations_counted,excluded_because,title,url
5909,2024-05-14,15,15,no,no,0,labels do not run without gaps,Australian Government response to the House Standing Committee on Communications and the Arts report: Inquiry into factors contributing to the growth and sustainability of the Australian music industry,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5909
5912,2024-05-14,22,21,no,no,0,labels do not run without gaps,Australian Government response to the House Standing Committee on Communications and the Arts report: Sculpting a National Cultural Plan: Igniting a post-COVID economy for the arts,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5912
5915,2024-05-14,17,17,yes,yes,17,,Australian Government response to the House of Representatives Standing Committee on Agriculture and Industry report: Smart farming - inquiry into agricultural innovation,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5915
5918,2024-05-14,6,6,yes,yes,6,,Australian Government response to the Parliamentary Joint Committee on Intelligence and Security report: Review of Part 14 of the Telecommunications Act 1997 – Telecommunications Sector Security Reforms,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5918
5919,2024-05-14,11,10,yes,no,0,11 notes sentences against 10 labels,Australian Government response to the House Standing Committee on Agriculture and Water Resources report: Aussie logs for Aussie jobs: Inquiry into timber supply chain constraints in the Australian plantation sector,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5919
5921,2024-05-14,15,15,yes,yes,15,,Australian Government response to the House of Representatives Standing Committee on Agriculture and Water resources report: Supporting a strong future for Australian aquaculture: Inquiry into the Australian aquaculture sector,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5921
5922,2024-05-14,14,14,yes,yes,14,,Australian Government response to the Parliamentary Joint Committee on Intelligence and Security Advisory report on the Security Legislation Amendment (Critical Infrastructure) Bill 2020 and Statutory Review of the Security of Critical Infrastructure Act 2018,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5922
5923,2024-05-14,11,11,yes,yes,11,,Australian Government response to the Parliamentary Joint Committee on Intelligence and Security Advisory report on the Security Legislation Amendment (Critical Infrastructure Protection) Bill 2022,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5923
5924,2024-05-14,23,23,yes,yes,23,,Australian Government Response to the House of Representatives Standing Committee on the Environment and Energy Report: Powering Our Future,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5924
5926,2024-05-14,4,4,yes,yes,4,,Australian Government response to the Senate Environment and Communications Legislation Committee report: Broadcasting Legislation Amendment (2021 Measures No. 1) Bill 2021,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5926
5927,2024-05-14,2,2,yes,yes,2,,Australian Government response to the Environment and Communications References Committee report: Participation of Australians in online poker,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5927
5929,2024-05-14,1,1,yes,no,0,"a single label, which a table layout can fake",Australian Government response to the Senate Finance and Public Administration Legislation Committee Report: Commonwealth Electoral Amendment (Banning Dirty Donations) Bill 2020,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5929
5930,2024-05-14,1,1,yes,no,0,"a single label, which a table layout can fake",Australian Government response to the Senate Finance and Public Administration Legislation Committee report: Commonwealth Electoral Amendment (Donation Reform and Other Measures) Bill 2020,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5930
5933,2024-05-14,5,3,yes,no,0,5 notes sentences against 3 labels,Australian Government response to the Senate Legal and Constitutional Affairs Legislation Committee report: Migration (Validation of Port Appointments) Bill 2018,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5933
